10.12.2021 17:33:51 [Dayz-Dog] 'DayzDog.json' does not exist, creating default config
18.12.2021 16:47:53 [Dayz-Dog] Spawned Wild Dog at <5104.866211, 476.432617, 15055.601563>
18.12.2021 16:47:53 [Dayz-Dog] Spawned Wild Dog at <5116.623047, 476.815338, 15041.806641>
18.12.2021 16:47:53 [Dayz-Dog] Spawned Wild Dog at <7023.227539, 368.828094, 11414.132813>
18.12.2021 16:47:53 [Dayz-Dog] Spawned Wild Dog at <7035.982422, 362.855438, 11436.455078>
18.12.2021 16:47:53 [Dayz-Dog] Spawned Wild Dog at <7042.984863, 362.304321, 11404.585938>
18.12.2021 16:47:53 [Dayz-Dog] Spawned Wild Dog at <7028.110352, 366.912048, 11415.173828>
18.12.2021 16:47:53 [Dayz-Dog] Spawned Wild Dog at <7040.563477, 362.267700, 11416.583008>
18.12.2021 16:47:53 [Dayz-Dog] Spawned Wild Dog at <9196.764648, 251.221054, 4085.864502>
18.12.2021 16:47:53 [Dayz-Dog] Spawned Wild Dog at <3397.911133, 298.488586, 14760.430664>
18.12.2021 16:47:53 [Dayz-Dog] Spawned Wild Dog at <3399.983398, 304.817596, 14739.008789>
18.12.2021 16:47:53 [Dayz-Dog] Spawned Wild Dog at <3395.142822, 298.623199, 14764.621094>
18.12.2021 16:47:53 [Dayz-Dog] Spawned Wild Dog at <14977.717773, 148.427933, 14190.182617>
18.12.2021 16:47:53 [Dayz-Dog] Spawned Wild Dog at <5010.014160, 318.621460, 5645.275879>
18.12.2021 16:47:53 [Dayz-Dog] Spawned Wild Dog at <5009.392578, 318.544830, 5629.578125>
18.12.2021 17:40:00 [Dayz-Dog] 'DayzDog.json' found, loading existing config
18.12.2021 17:40:19 [Dayz-Dog] Spawned Wild Dog at <12339.568359, 143.177887, 14939.202148>
18.12.2021 17:40:19 [Dayz-Dog] Spawned Wild Dog at <12329.526367, 146.847351, 14956.370117>
18.12.2021 17:40:19 [Dayz-Dog] Spawned Wild Dog at <12337.851563, 146.377136, 14956.105469>
18.12.2021 17:40:19 [Dayz-Dog] Spawned Wild Dog at <8343.411133, 292.009857, 5953.637695>
18.12.2021 17:40:19 [Dayz-Dog] Spawned Wild Dog at <8321.583008, 291.930298, 5942.967285>
18.12.2021 17:40:19 [Dayz-Dog] Spawned Wild Dog at <8334.933594, 292.087372, 5943.328613>
18.12.2021 17:40:19 [Dayz-Dog] Spawned Wild Dog at <8340.647461, 292.099976, 5967.148438>
18.12.2021 17:40:19 [Dayz-Dog] Spawned Wild Dog at <2463.978516, 311.398865, 6396.115234>
18.12.2021 17:40:19 [Dayz-Dog] Spawned Wild Dog at <2475.585205, 310.102966, 6392.225098>
18.12.2021 17:40:19 [Dayz-Dog] Spawned Wild Dog at <2483.856934, 309.626556, 6403.768066>
18.12.2021 17:40:19 [Dayz-Dog] Spawned Wild Dog at <2465.824463, 311.259888, 6394.187988>
18.12.2021 17:40:19 [Dayz-Dog] Spawned Wild Dog at <2479.573486, 310.273010, 6374.678223>
18.12.2021 17:40:19 [Dayz-Dog] Spawned Wild Dog at <5811.157715, 128.861572, 4830.269043>
18.12.2021 17:40:19 [Dayz-Dog] Spawned Wild Dog at <2752.122314, 206.633240, 5425.585449>
18.12.2021 17:40:19 [Dayz-Dog] Spawned Wild Dog at <2761.374512, 208.447708, 5442.916992>
18.12.2021 17:40:19 [Dayz-Dog] Spawned Wild Dog at <2760.296143, 206.422791, 5419.870605>
18.12.2021 17:40:19 [Dayz-Dog] Spawned Wild Dog at <9366.728516, 319.596863, 8883.118164>
18.12.2021 17:40:19 [Dayz-Dog] Spawned Wild Dog at <9380.799805, 316.902191, 8889.573242>
19.12.2021 11:38:09 [Dayz-Dog] 'DayzDog.json' found, loading existing config
19.12.2021 11:38:21 [Dayz-Dog] Spawned Wild Dog at <7445.110840, 217.117325, 5068.011230>
19.12.2021 11:38:21 [Dayz-Dog] Spawned Wild Dog at <7444.438477, 216.567520, 5081.998535>
19.12.2021 11:38:21 [Dayz-Dog] Spawned Wild Dog at <11401.721680, 161.359055, 10687.118164>
19.12.2021 11:38:21 [Dayz-Dog] Spawned Wild Dog at <11402.746094, 158.601608, 10675.481445>
19.12.2021 11:38:21 [Dayz-Dog] Spawned Wild Dog at <11389.961914, 165.453613, 10706.751953>
19.12.2021 11:38:21 [Dayz-Dog] Spawned Wild Dog at <11406.892578, 167.332672, 10706.906250>
19.12.2021 11:38:21 [Dayz-Dog] Spawned Wild Dog at <8348.962891, 414.395111, 7599.150879>
